Element,Mx_i,Mx_j,My_i,My_j,Mz_i,Mz_j,Vx_i,Vx_j,Vy_i,Vy_j,Vz_i,Vz_j
11,0.5400617280215736,-2.4029648026400805,0.0,0.0,-1.608179328863743e-11,1.608179328863743e-11,0.0,0.0,0.4686548615392469,-0.4686548615392469,0.0,0.0
12,1.8938529333616942,-1.362067182000092,0.0,0.0,-1.0855505858123806e-11,1.0855505858123806e-11,0.0,0.0,-0.44315479280133546,0.44315479280133546,0.0,0.0
13,3.9332682044034377,-3.9332682044034377,0.0,0.0,4.18243217836789e-12,-5.233889568258435,0.0,0.0,-1.8841851710901623,1.8841851710901623,0.0,0.0
14,4.668863978597065,-4.668863978597065,0.0,0.0,2.1391777238477516e-12,-4.49143680195667,0.0,0.0,-1.6169043134691234,1.6169043134691234,0.0,0.0
15,6.370871922842899,-6.370871922842899,0.0,0.0,1.1901590823981678e-13,-6.326409811754969,0.0,0.0,-2.2774893123172473,2.2774893123172473,0.0,0.0
16,3.9016759271038066,-3.9016759271038066,0.0,0.0,-3.6566305539054156e-12,-9.265526734150084,0.0,0.0,-3.3355629397918287,3.3355629397918287,0.0,0.0
17,2.7258297614219575,-2.7258297614219575,0.0,0.0,-2.9389823907877144e-12,-8.016381528731582,0.0,0.0,-2.8858742633503205,2.8858742633503205,0.0,0.0
18,1.0786704583198223,-0.7258449936861474,0.0,0.0,-1.3022335586590148e-11,1.3022335586590148e-11,0.0,0.0,-0.29402122052806245,0.29402122052806245,0.0,0.0
19,1.9147990194087432,1.6381870829925427,0.0,0.0,-1.3412378104503948e-11,1.3412378104503948e-11,0.0,0.0,-0.8938329817361725,0.8938329817361725,0.0,0.0
20,-0.03014905114475286,2.789636695178478,-0.0,0.0,-1.2101324168734934e-11,1.2101324168734934e-11,0.0,0.0,-0.6942107280587986,0.6942107280587986,0.0,0.0
21,-1.408575222178299,1.2430014098278868,-0.0,0.0,-1.0818475826536704e-11,1.0818475826536704e-11,0.0,0.0,0.13797817695867695,-0.13797817695867695,0.0,0.0
22,4.832817757442337,-4.832817757442337,0.0,0.0,5.233889568271627,-9.733603019773462,0.0,0.0,-1.6198838834695928,1.6198838834695928,0.0,0.0
