Element,Mx_i,Mx_j,My_i,My_j,Mz_i,Mz_j,Max_Moment
44,1.1697983394362645,-1.1697983394362645,0.0,0.0,26.12754046800766,-28.78126967259958,28.78126967259958
53,-0.28975493170125616,0.28975493170125616,-0.0,0.0,28.78126967259743,-22.116239875934294,28.78126967259743
52,-0.4672971250371263,0.4672971250371263,-0.0,0.0,28.00290399091538,-20.69971344163723,28.00290399091538
43,1.219631213691633,-1.219631213691633,0.0,0.0,25.042259232914063,-28.002903990914742,28.002903990914742
35,2.844895533592678,-2.844895533592678,0.0,0.0,17.263758440878732,-26.127540468013123,26.127540468013123
