Element,Vx_i,Vx_j,Vy_i,Vy_j,Vz_i,Vz_j,Max_Shear
3,0.0,0.0,3.5756860308631526,-3.5756860308631526,0.0,0.0,3.5756860308631526
39,0.0,0.0,3.354726402649934,-3.354726402649934,0.0,0.0,3.354726402649934
16,0.0,0.0,-3.3355629397918287,3.3355629397918287,0.0,0.0,3.3355629397918287
26,0.0,0.0,-3.329029056148396,3.329029056148396,0.0,0.0,3.329029056148396
34,0.0,0.0,-3.2559421904623687,3.2559421904623687,0.0,0.0,3.2559421904623687
